ID,label
0,0
1,2
2,0
3,2
4,1
5,0
6,0
7,2
8,0
9,1
10,2
11,1
12,1
13,1
14,1
15,0
16,1
17,0
18,1
19,0
20,2
21,0
22,2
23,0
24,2
25,2
26,1
27,1
28,1
29,1
30,0
31,2
32,2
33,2
34,0
35,0
36,0
37,2
38,1
39,1
40,1
41,1
42,0
43,1
44,0
45,1
46,2
47,1
48,0
49,2
50,1
51,1
52,1
53,2
54,2
55,2
56,0
57,0
58,1
59,2
60,2
61,0
62,1
63,0
64,2
65,1
66,1
67,1
68,1
69,1
70,0
71,1
72,2
73,2
74,1
75,1
76,1
77,1
78,0
79,2
80,1
81,2
82,2
83,0
84,2
85,1
86,0
87,1
88,2
89,2
90,1
91,1
92,0
93,2
94,2
95,1
96,1
97,2
98,0
99,2
100,1
101,2
102,1
103,0
104,0
105,2
106,2
107,0
108,1
109,2
110,2
111,0
112,2
113,0
114,0
115,0
116,0
117,1
118,0
119,2
120,1
121,1
122,0
123,2
124,1
125,1
126,0
127,0
128,2
129,0
130,0
131,2
132,0
133,0
134,2
135,0
136,1
137,1
138,1
139,2
140,1
141,2
142,1
143,1
144,0
145,1
146,2
147,2
148,0
149,0
150,0
151,0
152,2
153,0
154,1
155,0
156,1
157,1
158,0
159,0
160,0
161,0
162,1
163,1
164,1
165,0
166,2
167,0
168,0
169,2
170,2
171,0
172,1
173,1
174,2
175,1
176,2
177,0
178,1
179,2
180,1
181,0
182,1
183,2
184,0
185,2
186,0
187,0
188,1
189,0
190,0
191,1
192,0
193,0
194,0
195,2
196,0
197,2
198,0
199,0
200,1
201,1
202,1
203,0
204,2
205,1
206,1
207,0
208,1
209,2
210,2
211,2
212,2
213,1
214,1
215,0
216,2
217,2
218,0
219,1
220,2
221,2
222,1
223,1
224,0
225,1
226,1
227,0
228,2
229,1
230,2
231,2
232,2
233,0
234,0
235,2
236,1
237,0
238,1
239,0
240,1
241,2
242,0
243,0
244,0
245,1
246,1
247,1
248,2
249,0
250,2
251,1
252,2
253,1
254,2
255,1
256,0
257,1
258,0
259,1
260,0
261,1
262,0
263,1
264,0
265,1
266,1
267,0
268,1
269,2
270,0
271,0
272,0
273,1
274,0
275,0
276,2
277,0
278,0
279,1
280,1
281,2
282,1
283,0
284,1
285,0
286,1
287,1
288,1
289,1
290,0
291,1
292,1
293,0
294,1
295,2
296,1
297,1
298,1
299,0
300,2
301,0
302,0
303,0
304,0
305,1
306,2
307,2
308,0
309,1
310,2
311,1
312,1
313,0
314,0
315,1
316,0
317,2
318,1
319,1
320,0
321,1
322,2
323,2
324,1
325,0
326,0
327,1
328,1
329,1
330,0
331,1
332,1
333,1
334,0
335,1
336,1
337,0
338,0
339,0
340,0
341,2
342,1
343,1
344,1
345,2
346,0
347,0
348,1
349,1
350,1
351,0
352,1
353,1
354,0
355,2
356,1
357,0
358,0
359,2
360,2
361,2
362,0
363,1
364,1
365,0
366,1
367,2
368,0
369,0
370,1
371,0
372,0
373,1
374,1
375,2
376,2
377,1
378,2
379,0
380,2
381,2
382,1
383,0
384,0
385,2
386,1
387,1
388,2
389,0
390,2
391,0
392,0
393,2
394,0
395,1
396,1
397,2
398,0
399,0
400,0
401,1
402,0
403,0
404,0
405,1
406,1
407,0
408,0
409,1
410,2
411,2
412,1
413,0
414,1
415,0
416,1
417,1
418,0
419,0
420,2
421,0
422,2
423,1
424,0
425,1
426,2
427,1
428,0
429,2
430,0
431,1
432,2
433,2
434,1
435,1
436,0
437,1
438,0
439,1
440,1
441,2
442,1
443,0
444,1
445,2
446,1
447,1
448,2
449,0
450,2
451,0
452,0
453,1
454,0
455,0
456,2
457,1
458,1
459,1
460,2
461,1
462,0
463,0
464,0
465,2
466,0
467,2
468,0
469,1
470,0
471,2
472,2
473,0
474,2
475,2
476,0
477,1
478,0
479,2
480,0
481,0
482,2
483,0
484,1
485,2
486,0
487,0
488,2
489,2
490,2
491,2
492,1
493,1
494,1
495,0
496,1
497,2
498,0
499,0
500,1
501,2
502,0
503,1
504,2
505,1
506,1
507,2
508,0
509,2
510,1
511,1
512,2
513,0
514,0
515,1
516,1
517,1
518,2
519,2
520,0
521,2
522,1
523,1
524,0
525,0
526,1
527,1
528,1
529,2
530,1
531,1
532,0
533,0
534,2
535,0
536,2
537,2
538,2
539,0
540,1
541,0
542,1
543,1
544,2
545,0
546,2
547,1
548,1
549,1
550,0
551,0
552,1
553,2
554,2
555,1
556,0
557,1
558,2
559,0
560,0
561,2
562,0
563,0
564,2
565,1
566,1
567,1
568,1
569,1
570,0
571,2
572,0
573,1
574,1
575,1
576,0
577,1
578,1
579,0
580,1
581,1
582,2
583,2
584,2
585,1
586,1
587,0
588,2
589,2
590,0
591,1
592,1
593,0
594,1
595,2
596,0
597,0
598,1
599,1
600,1
601,1
602,0
603,1
604,2
605,1
606,2
607,1
608,2
609,0
610,2
611,2
612,2
613,2
614,0
615,2
616,2
617,1
618,1
619,1
620,2
621,0
622,0
623,1
624,0
625,2
626,0
627,2
628,0
629,0
630,0
631,2
632,2
633,1
634,0
635,0
636,1
637,0
638,1
639,1
640,2
641,1
642,0
643,2
644,0
645,1
646,2
647,0
648,2
649,1
650,1
651,2
652,1
653,0
654,1
655,0
656,0
657,1
658,1
659,0
660,2
661,1
662,1
663,2
664,1
665,2
666,1
667,1
668,0
669,0
670,1
671,0
672,2
673,0
674,1
675,2
676,2
677,0
678,2
679,2
680,1
681,1
682,0
683,1
684,0
685,1
686,2
687,1
688,0
689,0
690,2
691,2
692,1
693,0
694,0
695,1
696,2
697,2
698,1
699,0
700,2
701,1
702,2
703,2
704,1
705,2
706,0
707,1
708,0
709,1
710,1
711,0
712,0
713,1
714,2
715,0
716,1
717,1
718,2
719,1
720,0
721,0
722,2
723,1
724,1
725,0
726,2
727,1
728,1
729,1
730,1
731,1
732,0
733,1
734,0
735,2
736,0
737,1
738,1
739,1
740,2
741,1
742,0
743,2
744,2
745,1
746,2
747,0
748,2
749,2
750,1
751,2
752,0
753,1
754,0
755,0
756,2
757,2
758,2
759,1
760,1
761,1
762,2
763,1
764,1
765,2
766,0
767,0
768,1
769,2
770,0
771,0
772,1
773,0
774,2
775,1
776,1
777,2
778,1
779,0
780,1
781,0
782,0
783,0
784,2
785,2
786,1
787,1
788,0
789,1
790,1
791,1
792,2
793,1
794,0
795,0
796,1
797,2
798,2
799,2
800,0
801,1
802,0
803,0
804,0
805,2
806,1
807,2
808,1
809,1
810,0
811,0
812,1
813,0
814,2
815,0
816,1
817,1
818,2
819,1
820,0
821,1
822,0
823,1
824,0
825,2
826,1
827,0
828,2
829,1
830,0
831,2
832,1
833,1
834,0
835,2
836,1
837,2
838,0
839,1
840,0
841,0
842,1
843,1
844,1
845,0
846,0
847,2
848,0
849,1
850,1
851,0
852,2
853,0
854,2
855,0
856,0
857,2
858,1
859,1
860,2
861,1
862,1
863,1
864,2
865,1
866,2
867,1
868,0
869,1
870,1
871,2
872,0
873,1
874,1
875,1
876,2
877,0
878,1
879,0
880,1
881,1
882,1
883,1
884,2
885,1
886,1
887,2
888,0
889,2
890,1
891,1
892,2
893,2
894,1
895,2
896,0
897,2
898,1
899,2
900,1
901,1
902,0
903,1
904,2
905,2
906,0
907,0
908,0
909,2
910,0
911,1
912,2
913,2
914,1
915,1
916,2
917,2
918,1
919,2
920,0
921,0
922,2
923,1
924,2
925,1
926,1
927,1
928,0
929,0
930,1
931,0
932,1
933,2
934,2
935,1
936,0
937,1
938,1
939,2
940,2
941,1
942,2
943,2
944,1
945,1
946,1
947,2
948,1
949,2
950,0
951,0
952,2
953,1
954,2
955,0
956,2
957,2
958,2
959,0
960,2
961,0
962,1
963,2
964,0
965,2
966,1
967,1
968,1
969,2
970,1
971,0
972,1
973,0
974,1
975,2
976,1
977,1
978,0
979,0
980,1
981,2
982,1
983,1
984,1
985,2
986,2
987,1
988,2
989,2
990,0
991,2
992,1
993,2
994,0
995,1
996,0
997,2
998,1
999,1
1000,0
1001,0
1002,0
1003,0
1004,1
1005,1
1006,0
1007,1
1008,0
1009,1
1010,2
1011,2
1012,1
1013,2
1014,2
1015,1
1016,2
1017,1
1018,1
1019,1
1020,2
1021,0
1022,0
1023,2
1024,0
1025,1
1026,1
1027,2
1028,0
1029,0
1030,0
1031,1
1032,0
1033,2
1034,1
1035,1
1036,1
1037,0
1038,2
1039,2
1040,2
1041,0
1042,1
1043,2
1044,1
1045,1
1046,2
1047,1
1048,1
1049,0
1050,2
1051,2
1052,0
1053,1
1054,0
1055,1
1056,2
1057,2
1058,0
1059,1
1060,2
1061,0
1062,1
1063,2
1064,0
1065,0
1066,1
1067,1
1068,1
1069,1
1070,1
1071,1
1072,1
1073,0
1074,1
1075,2
1076,2
1077,2
1078,1
1079,1
1080,0
1081,0
1082,2
1083,1
1084,0
1085,1
1086,0
1087,0
1088,0
1089,1
1090,0
1091,0
1092,0
1093,1
1094,2
1095,2
1096,0
1097,1
1098,2
1099,2
1100,2
1101,0
1102,2
1103,0
1104,0
1105,0
1106,1
1107,1
1108,2
1109,2
1110,0
1111,1
1112,2
1113,2
1114,0
1115,2
1116,1
1117,2
1118,0
1119,1
1120,2
1121,0
1122,0
1123,2
1124,2
1125,2
1126,0
1127,2
1128,0
1129,0
1130,0
1131,0
1132,2
1133,1
1134,1
1135,2
1136,0
1137,0
1138,2
1139,1
1140,2
1141,1
1142,2
1143,0
1144,0
1145,0
1146,1
1147,2
1148,0
1149,0
1150,0
1151,0
1152,1
1153,1
1154,2
1155,1
1156,0
1157,1
1158,2
1159,1
1160,1
1161,2
1162,2
1163,2
1164,1
1165,1
1166,1
1167,1
1168,1
1169,0
1170,1
1171,2
1172,1
1173,1
1174,0
1175,1
1176,2
1177,1
1178,1
1179,2
1180,0
1181,1
1182,1
1183,0
1184,1
1185,2
1186,1
1187,0
1188,2
1189,1
1190,0
1191,0
1192,1
1193,1
1194,2
1195,0
1196,2
1197,1
1198,2
1199,1
1200,2
1201,0
1202,1
1203,1
1204,0
1205,0
1206,0
1207,0
1208,1
1209,0
1210,1
1211,2
1212,1
1213,2
1214,2
1215,1
1216,0
1217,2
1218,2
1219,1
1220,2
1221,1
1222,2
1223,1
1224,0
1225,1
1226,0
1227,0
1228,1
1229,1
1230,1
1231,0
1232,0
1233,1
1234,0
